METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63116;"{""coordinates"": [-123.1394106244847, 49.285611926109254], ""type"": ""Point""}";West End;161616;49.285611926109254, -123.1394106244847
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63114;"{""coordinates"": [-123.13966777523581, 49.28578166933041], ""type"": ""Point""}";West End;161626;49.28578166933041, -123.13966777523581
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65270;"{""coordinates"": [-123.12416194823484, 49.28929178999192], ""type"": ""Point""}";Downtown;061231;49.28929178999192, -123.12416194823484
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65267;"{""coordinates"": [-123.124473968545, 49.289381801767746], ""type"": ""Point""}";Downtown;061239;49.289381801767746, -123.124473968545
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65400;"{""coordinates"": [-123.12364056512698, 49.288989814579004], ""type"": ""Point""}";Downtown;061212;49.288989814579004, -123.12364056512698
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65450;"{""coordinates"": [-123.12452369519283, 49.28924537247194], ""type"": ""Point""}";Downtown;061230;49.28924537247194, -123.12452369519283
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63947;"{""coordinates"": [-123.12409350320527, 49.28647997373692], ""type"": ""Point""}";Downtown;111131;49.28647997373692, -123.12409350320527
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66939;"{""coordinates"": [-123.14075050871197, 49.28648091760636], ""type"": ""Point""}";West End;161708;49.28648091760636, -123.14075050871197
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56900;"{""coordinates"": [-123.15078954249384, 49.263702722132436], ""type"": ""Point""}";Kitsilano;302002;49.263702722132436, -123.15078954249384
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50208;"{""coordinates"": [-123.11493873506595, 49.256291738876115], ""type"": ""Point""}";Riley Park;563216;49.256291738876115, -123.11493873506595
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62391;"{""coordinates"": [-123.12590405350048, 49.28765187593296], ""type"": ""Point""}";Downtown;111209;49.28765187593296, -123.12590405350048
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62447;"{""coordinates"": [-123.12615624320955, 49.287815330952746], ""type"": ""Point""}";Downtown;111217;49.287815330952746, -123.12615624320955
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63831;"{""coordinates"": [-123.12653854605705, 49.28806309865109], ""type"": ""Point""}";Downtown;111231;49.28806309865109, -123.12653854605705
